ID	NB	product	codon_start	codon_end
s17543-17445	13	s17543-17445	1	15
s17543-17445	15	s17543-17445	2	16
s17543-17445	12	s17543-17445	3	17
s17543-17445	13	s17543-17445	4	18
s17543-17445	5	s17543-17445	5	19
s17543-17445	2	s17543-17445	6	20
s17543-17445	0	s17543-17445	7	21
s17543-17445	0	s17543-17445	8	22
s17543-17445	0	s17543-17445	9	23
s17543-17445	2	s17543-17445	10	24
s17543-17445	5	s17543-17445	11	25
s17543-17445	8	s17543-17445	12	26
s17543-17445	8	s17543-17445	13	27
s17543-17445	5	s17543-17445	14	28
s17543-17445	1	s17543-17445	15	29
s17543-17445	0	s17543-17445	16	30
s17543-17445	0	s17543-17445	17	31
s17543-17445	5	s17543-17445	18	32
s28081-28191	3	s28081-28191	1	15
s28081-28191	2	s28081-28191	2	16
s28081-28191	2	s28081-28191	3	17
s28081-28191	6	s28081-28191	4	18
s28081-28191	7	s28081-28191	5	19
s28081-28191	12	s28081-28191	6	20
s28081-28191	5	s28081-28191	7	21
s28081-28191	4	s28081-28191	8	22
s28081-28191	2	s28081-28191	9	23
s28081-28191	2	s28081-28191	10	24
s28081-28191	3	s28081-28191	11	25
s28081-28191	3	s28081-28191	12	26
s28081-28191	3	s28081-28191	13	27
s28081-28191	2	s28081-28191	14	28
s28081-28191	0	s28081-28191	15	29
s28081-28191	0	s28081-28191	16	30
s28081-28191	0	s28081-28191	17	31
s28081-28191	2	s28081-28191	18	32
s28081-28191	3	s28081-28191	19	33
s28081-28191	3	s28081-28191	20	34
s28081-28191	1	s28081-28191	21	35
s28081-28191	0	s28081-28191	22	36
s16295-16200	0	s16295-16200	1	15
s16295-16200	0	s16295-16200	2	16
s16295-16200	1	s16295-16200	3	17
s16295-16200	1	s16295-16200	4	18
s16295-16200	0	s16295-16200	5	19
s16295-16200	0	s16295-16200	6	20
s16295-16200	0	s16295-16200	7	21
s16295-16200	0	s16295-16200	8	22
s16295-16200	0	s16295-16200	9	23
s16295-16200	0	s16295-16200	10	24
s16295-16200	0	s16295-16200	11	25
s16295-16200	0	s16295-16200	12	26
s16295-16200	0	s16295-16200	13	27
s16295-16200	0	s16295-16200	14	28
s16295-16200	0	s16295-16200	15	29
s16295-16200	0	s16295-16200	16	30
s16295-16200	0	s16295-16200	17	31
s14027-13905	0	s14027-13905	1	15
s14027-13905	0	s14027-13905	2	16
s14027-13905	0	s14027-13905	3	17
s14027-13905	2	s14027-13905	4	18
s14027-13905	2	s14027-13905	5	19
s14027-13905	2	s14027-13905	6	20
s14027-13905	3	s14027-13905	7	21
s14027-13905	2	s14027-13905	8	22
s14027-13905	3	s14027-13905	9	23
s14027-13905	6	s14027-13905	10	24
s14027-13905	1	s14027-13905	11	25
s14027-13905	0	s14027-13905	12	26
s14027-13905	0	s14027-13905	13	27
s14027-13905	1	s14027-13905	14	28
s14027-13905	3	s14027-13905	15	29
s14027-13905	9	s14027-13905	16	30
s14027-13905	10	s14027-13905	17	31
s14027-13905	8	s14027-13905	18	32
s14027-13905	6	s14027-13905	19	33
s14027-13905	1	s14027-13905	20	34
s14027-13905	3	s14027-13905	21	35
s14027-13905	5	s14027-13905	22	36
s14027-13905	9	s14027-13905	23	37
s14027-13905	7	s14027-13905	24	38
s14027-13905	5	s14027-13905	25	39
s14027-13905	6	s14027-13905	26	40
s13550-13359	10	s13550-13359	1	15
s13550-13359	13	s13550-13359	2	16
s13550-13359	15	s13550-13359	3	17
s13550-13359	7	s13550-13359	4	18
s13550-13359	3	s13550-13359	5	19
s13550-13359	4	s13550-13359	6	20
s13550-13359	5	s13550-13359	7	21
s13550-13359	7	s13550-13359	8	22
s13550-13359	3	s13550-13359	9	23
s13550-13359	0	s13550-13359	10	24
s13550-13359	0	s13550-13359	11	25
s13550-13359	0	s13550-13359	12	26
s13550-13359	2	s13550-13359	13	27
s13550-13359	3	s13550-13359	14	28
s13550-13359	3	s13550-13359	15	29
s13550-13359	2	s13550-13359	16	30
s13550-13359	0	s13550-13359	17	31
s13550-13359	1	s13550-13359	18	32
s13550-13359	3	s13550-13359	19	33
s13550-13359	4	s13550-13359	20	34
s13550-13359	1	s13550-13359	21	35
s13550-13359	0	s13550-13359	22	36
s13550-13359	0	s13550-13359	23	37
s13550-13359	2	s13550-13359	24	38
s13550-13359	7	s13550-13359	25	39
s13550-13359	6	s13550-13359	26	40
s13550-13359	0	s13550-13359	27	41
s13550-13359	2	s13550-13359	28	42
s13550-13359	3	s13550-13359	29	43
s13550-13359	4	s13550-13359	30	44
s13550-13359	0	s13550-13359	31	45
s13550-13359	1	s13550-13359	32	46
s13550-13359	1	s13550-13359	33	47
s13550-13359	1	s13550-13359	34	48
s13550-13359	0	s13550-13359	35	49
s13550-13359	2	s13550-13359	36	50
s13550-13359	9	s13550-13359	37	51
s13550-13359	3	s13550-13359	38	52
s13550-13359	2	s13550-13359	39	53
s13550-13359	2	s13550-13359	40	54
s13550-13359	2	s13550-13359	41	55
s13550-13359	2	s13550-13359	42	56
s13550-13359	3	s13550-13359	43	57
s13550-13359	5	s13550-13359	44	58
s13550-13359	5	s13550-13359	45	59
s13550-13359	2	s13550-13359	46	60
s13550-13359	0	s13550-13359	47	61
s13550-13359	0	s13550-13359	48	62
s13550-13359	0	s13550-13359	49	63
s10856-10755	4	s10856-10755	1	15
s10856-10755	4	s10856-10755	2	16
s10856-10755	1	s10856-10755	3	17
s10856-10755	6	s10856-10755	4	18
s10856-10755	11	s10856-10755	5	19
s10856-10755	8	s10856-10755	6	20
s10856-10755	11	s10856-10755	7	21
s10856-10755	6	s10856-10755	8	22
s10856-10755	4	s10856-10755	9	23
s10856-10755	2	s10856-10755	10	24
s10856-10755	1	s10856-10755	11	25
s10856-10755	0	s10856-10755	12	26
s10856-10755	1	s10856-10755	13	27
s10856-10755	2	s10856-10755	14	28
s10856-10755	2	s10856-10755	15	29
s10856-10755	1	s10856-10755	16	30
s10856-10755	0	s10856-10755	17	31
s10856-10755	0	s10856-10755	18	32
s10856-10755	0	s10856-10755	19	33
s692-516	0	s692-516	1	15
s692-516	0	s692-516	2	16
s692-516	0	s692-516	3	17
s692-516	2	s692-516	4	18
s692-516	2	s692-516	5	19
s692-516	0	s692-516	6	20
s692-516	2	s692-516	7	21
s692-516	4	s692-516	8	22
s692-516	9	s692-516	9	23
s692-516	7	s692-516	10	24
s692-516	5	s692-516	11	25
s692-516	4	s692-516	12	26
s692-516	5	s692-516	13	27
s692-516	2	s692-516	14	28
s692-516	0	s692-516	15	29
s692-516	0	s692-516	16	30
s692-516	0	s692-516	17	31
s692-516	0	s692-516	18	32
s692-516	0	s692-516	19	33
s692-516	0	s692-516	20	34
s692-516	0	s692-516	21	35
s692-516	0	s692-516	22	36
s692-516	1	s692-516	23	37
s692-516	3	s692-516	24	38
s692-516	4	s692-516	25	39
s692-516	4	s692-516	26	40
s692-516	3	s692-516	27	41
s692-516	1	s692-516	28	42
s692-516	1	s692-516	29	43
s692-516	1	s692-516	30	44
s692-516	0	s692-516	31	45
s692-516	0	s692-516	32	46
s692-516	0	s692-516	33	47
s692-516	0	s692-516	34	48
s692-516	0	s692-516	35	49
s692-516	0	s692-516	36	50
s692-516	0	s692-516	37	51
s692-516	1	s692-516	38	52
s692-516	2	s692-516	39	53
s692-516	1	s692-516	40	54
s692-516	2	s692-516	41	55
s692-516	0	s692-516	42	56
s692-516	0	s692-516	43	57
s692-516	0	s692-516	44	58
s29341-29207	0	s29341-29207	1	15
s29341-29207	0	s29341-29207	2	16
s29341-29207	0	s29341-29207	3	17
s29341-29207	1	s29341-29207	4	18
s29341-29207	1	s29341-29207	5	19
s29341-29207	0	s29341-29207	6	20
s29341-29207	0	s29341-29207	7	21
s29341-29207	0	s29341-29207	8	22
s29341-29207	0	s29341-29207	9	23
s29341-29207	0	s29341-29207	10	24
s29341-29207	0	s29341-29207	11	25
s29341-29207	3	s29341-29207	12	26
s29341-29207	4	s29341-29207	13	27
s29341-29207	5	s29341-29207	14	28
s29341-29207	3	s29341-29207	15	29
s29341-29207	0	s29341-29207	16	30
s29341-29207	0	s29341-29207	17	31
s29341-29207	0	s29341-29207	18	32
s29341-29207	0	s29341-29207	19	33
s29341-29207	0	s29341-29207	20	34
s29341-29207	0	s29341-29207	21	35
s29341-29207	0	s29341-29207	22	36
s29341-29207	0	s29341-29207	23	37
s29341-29207	0	s29341-29207	24	38
s29341-29207	0	s29341-29207	25	39
s29341-29207	0	s29341-29207	26	40
s29341-29207	0	s29341-29207	27	41
s29341-29207	0	s29341-29207	28	42
s29341-29207	4	s29341-29207	29	43
s29341-29207	4	s29341-29207	30	44
s27004-26804	0	s27004-26804	1	15
s27004-26804	0	s27004-26804	2	16
s27004-26804	0	s27004-26804	3	17
s27004-26804	0	s27004-26804	4	18
s27004-26804	0	s27004-26804	5	19
s27004-26804	0	s27004-26804	6	20
s27004-26804	1	s27004-26804	7	21
s27004-26804	1	s27004-26804	8	22
s27004-26804	1	s27004-26804	9	23
s27004-26804	0	s27004-26804	10	24
s27004-26804	0	s27004-26804	11	25
s27004-26804	0	s27004-26804	12	26
s27004-26804	0	s27004-26804	13	27
s27004-26804	0	s27004-26804	14	28
s27004-26804	0	s27004-26804	15	29
s27004-26804	0	s27004-26804	16	30
s27004-26804	1	s27004-26804	17	31
s27004-26804	2	s27004-26804	18	32
s27004-26804	2	s27004-26804	19	33
s27004-26804	1	s27004-26804	20	34
s27004-26804	0	s27004-26804	21	35
s27004-26804	0	s27004-26804	22	36
s27004-26804	0	s27004-26804	23	37
s27004-26804	0	s27004-26804	24	38
s27004-26804	0	s27004-26804	25	39
s27004-26804	0	s27004-26804	26	40
s27004-26804	1	s27004-26804	27	41
s27004-26804	5	s27004-26804	28	42
s27004-26804	5	s27004-26804	29	43
s27004-26804	4	s27004-26804	30	44
s27004-26804	4	s27004-26804	31	45
s27004-26804	3	s27004-26804	32	46
s27004-26804	0	s27004-26804	33	47
s27004-26804	0	s27004-26804	34	48
s27004-26804	0	s27004-26804	35	49
s27004-26804	0	s27004-26804	36	50
s27004-26804	1	s27004-26804	37	51
s27004-26804	3	s27004-26804	38	52
s27004-26804	0	s27004-26804	39	53
s27004-26804	1	s27004-26804	40	54
s27004-26804	3	s27004-26804	41	55
s27004-26804	3	s27004-26804	42	56
s27004-26804	4	s27004-26804	43	57
s27004-26804	1	s27004-26804	44	58
s27004-26804	0	s27004-26804	45	59
s27004-26804	0	s27004-26804	46	60
s27004-26804	1	s27004-26804	47	61
s27004-26804	4	s27004-26804	48	62
s27004-26804	8	s27004-26804	49	63
s27004-26804	10	s27004-26804	50	64
s27004-26804	5	s27004-26804	51	65
s27004-26804	6	s27004-26804	52	66
s25807-25586	5	s25807-25586	1	15
s25807-25586	2	s25807-25586	2	16
s25807-25586	0	s25807-25586	3	17
s25807-25586	0	s25807-25586	4	18
s25807-25586	0	s25807-25586	5	19
s25807-25586	0	s25807-25586	6	20
s25807-25586	0	s25807-25586	7	21
s25807-25586	0	s25807-25586	8	22
s25807-25586	0	s25807-25586	9	23
s25807-25586	1	s25807-25586	10	24
s25807-25586	4	s25807-25586	11	25
s25807-25586	7	s25807-25586	12	26
s25807-25586	2	s25807-25586	13	27
s25807-25586	1	s25807-25586	14	28
s25807-25586	2	s25807-25586	15	29
s25807-25586	2	s25807-25586	16	30
s25807-25586	3	s25807-25586	17	31
s25807-25586	5	s25807-25586	18	32
s25807-25586	5	s25807-25586	19	33
s25807-25586	3	s25807-25586	20	34
s25807-25586	0	s25807-25586	21	35
s25807-25586	0	s25807-25586	22	36
s25807-25586	1	s25807-25586	23	37
s25807-25586	1	s25807-25586	24	38
s25807-25586	3	s25807-25586	25	39
s25807-25586	1	s25807-25586	26	40
s25807-25586	0	s25807-25586	27	41
s25807-25586	0	s25807-25586	28	42
s25807-25586	0	s25807-25586	29	43
s25807-25586	0	s25807-25586	30	44
s25807-25586	1	s25807-25586	31	45
s25807-25586	0	s25807-25586	32	46
s25807-25586	1	s25807-25586	33	47
s25807-25586	2	s25807-25586	34	48
s25807-25586	0	s25807-25586	35	49
s25807-25586	0	s25807-25586	36	50
s25807-25586	0	s25807-25586	37	51
s25807-25586	0	s25807-25586	38	52
s25807-25586	0	s25807-25586	39	53
s25807-25586	0	s25807-25586	40	54
s25807-25586	0	s25807-25586	41	55
s25807-25586	2	s25807-25586	42	56
s25807-25586	1	s25807-25586	43	57
s25807-25586	0	s25807-25586	44	58
s25807-25586	0	s25807-25586	45	59
s25807-25586	2	s25807-25586	46	60
s25807-25586	3	s25807-25586	47	61
s25807-25586	0	s25807-25586	48	62
s25807-25586	0	s25807-25586	49	63
s25807-25586	0	s25807-25586	50	64
s25807-25586	0	s25807-25586	51	65
s25807-25586	0	s25807-25586	52	66
s25807-25586	0	s25807-25586	53	67
s25807-25586	0	s25807-25586	54	68
s25807-25586	0	s25807-25586	55	69
s25807-25586	0	s25807-25586	56	70
s25807-25586	0	s25807-25586	57	71
s25807-25586	2	s25807-25586	58	72
s25807-25586	4	s25807-25586	59	73
s23437-23198	0	s23437-23198	1	15
s23437-23198	0	s23437-23198	2	16
s23437-23198	1	s23437-23198	3	17
s23437-23198	1	s23437-23198	4	18
s23437-23198	0	s23437-23198	5	19
s23437-23198	2	s23437-23198	6	20
s23437-23198	10	s23437-23198	7	21
s23437-23198	16	s23437-23198	8	22
s23437-23198	16	s23437-23198	9	23
s23437-23198	9	s23437-23198	10	24
s23437-23198	3	s23437-23198	11	25
s23437-23198	0	s23437-23198	12	26
s23437-23198	0	s23437-23198	13	27
s23437-23198	0	s23437-23198	14	28
s23437-23198	0	s23437-23198	15	29
s23437-23198	0	s23437-23198	16	30
s23437-23198	1	s23437-23198	17	31
s23437-23198	0	s23437-23198	18	32
s23437-23198	0	s23437-23198	19	33
s23437-23198	0	s23437-23198	20	34
s23437-23198	0	s23437-23198	21	35
s23437-23198	1	s23437-23198	22	36
s23437-23198	2	s23437-23198	23	37
s23437-23198	1	s23437-23198	24	38
s23437-23198	2	s23437-23198	25	39
s23437-23198	1	s23437-23198	26	40
s23437-23198	0	s23437-23198	27	41
s23437-23198	0	s23437-23198	28	42
s23437-23198	0	s23437-23198	29	43
s23437-23198	0	s23437-23198	30	44
s23437-23198	0	s23437-23198	31	45
s23437-23198	0	s23437-23198	32	46
s23437-23198	0	s23437-23198	33	47
s23437-23198	0	s23437-23198	34	48
s23437-23198	0	s23437-23198	35	49
s23437-23198	0	s23437-23198	36	50
s23437-23198	0	s23437-23198	37	51
s23437-23198	0	s23437-23198	38	52
s23437-23198	0	s23437-23198	39	53
s23437-23198	0	s23437-23198	40	54
s23437-23198	1	s23437-23198	41	55
s23437-23198	1	s23437-23198	42	56
s23437-23198	2	s23437-23198	43	57
s23437-23198	1	s23437-23198	44	58
s23437-23198	1	s23437-23198	45	59
s23437-23198	1	s23437-23198	46	60
s23437-23198	5	s23437-23198	47	61
s23437-23198	7	s23437-23198	48	62
s23437-23198	3	s23437-23198	49	63
s23437-23198	2	s23437-23198	50	64
s23437-23198	5	s23437-23198	51	65
s23437-23198	5	s23437-23198	52	66
s23437-23198	5	s23437-23198	53	67
s23437-23198	2	s23437-23198	54	68
s23437-23198	1	s23437-23198	55	69
s23437-23198	0	s23437-23198	56	70
s23437-23198	0	s23437-23198	57	71
s23437-23198	0	s23437-23198	58	72
s23437-23198	1	s23437-23198	59	73
s23437-23198	3	s23437-23198	60	74
s23437-23198	2	s23437-23198	61	75
s23437-23198	1	s23437-23198	62	76
s23437-23198	1	s23437-23198	63	77
s23437-23198	2	s23437-23198	64	78
s23437-23198	2	s23437-23198	65	79
s16939-16799	7	s16939-16799	1	15
s16939-16799	4	s16939-16799	2	16
s16939-16799	1	s16939-16799	3	17
s16939-16799	0	s16939-16799	4	18
s16939-16799	0	s16939-16799	5	19
s16939-16799	0	s16939-16799	6	20
s16939-16799	0	s16939-16799	7	21
s16939-16799	0	s16939-16799	8	22
s16939-16799	0	s16939-16799	9	23
s16939-16799	0	s16939-16799	10	24
s16939-16799	0	s16939-16799	11	25
s16939-16799	0	s16939-16799	12	26
s16939-16799	0	s16939-16799	13	27
s16939-16799	0	s16939-16799	14	28
s16939-16799	1	s16939-16799	15	29
s16939-16799	2	s16939-16799	16	30
s16939-16799	3	s16939-16799	17	31
s16939-16799	2	s16939-16799	18	32
s16939-16799	2	s16939-16799	19	33
s16939-16799	0	s16939-16799	20	34
s16939-16799	0	s16939-16799	21	35
s16939-16799	0	s16939-16799	22	36
s16939-16799	1	s16939-16799	23	37
s16939-16799	3	s16939-16799	24	38
s16939-16799	4	s16939-16799	25	39
s16939-16799	1	s16939-16799	26	40
s16939-16799	1	s16939-16799	27	41
s16939-16799	0	s16939-16799	28	42
s16939-16799	0	s16939-16799	29	43
s16939-16799	0	s16939-16799	30	44
s16939-16799	0	s16939-16799	31	45
s16939-16799	0	s16939-16799	32	46
s16306-16208	0	s16306-16208	1	15
s16306-16208	0	s16306-16208	2	16
s16306-16208	0	s16306-16208	3	17
s16306-16208	0	s16306-16208	4	18
s16306-16208	0	s16306-16208	5	19
s16306-16208	0	s16306-16208	6	20
s16306-16208	0	s16306-16208	7	21
s16306-16208	0	s16306-16208	8	22
s16306-16208	0	s16306-16208	9	23
s16306-16208	0	s16306-16208	10	24
s16306-16208	0	s16306-16208	11	25
s16306-16208	0	s16306-16208	12	26
s16306-16208	0	s16306-16208	13	27
s16306-16208	0	s16306-16208	14	28
s16306-16208	0	s16306-16208	15	29
s16306-16208	0	s16306-16208	16	30
s16306-16208	0	s16306-16208	17	31
s16306-16208	0	s16306-16208	18	32
s15682-15566	0	s15682-15566	1	15
s15682-15566	0	s15682-15566	2	16
s15682-15566	0	s15682-15566	3	17
s15682-15566	0	s15682-15566	4	18
s15682-15566	0	s15682-15566	5	19
s15682-15566	0	s15682-15566	6	20
s15682-15566	0	s15682-15566	7	21
s15682-15566	2	s15682-15566	8	22
s15682-15566	3	s15682-15566	9	23
s15682-15566	4	s15682-15566	10	24
s15682-15566	6	s15682-15566	11	25
s15682-15566	3	s15682-15566	12	26
s15682-15566	1	s15682-15566	13	27
s15682-15566	0	s15682-15566	14	28
s15682-15566	0	s15682-15566	15	29
s15682-15566	0	s15682-15566	16	30
s15682-15566	0	s15682-15566	17	31
s15682-15566	0	s15682-15566	18	32
s15682-15566	0	s15682-15566	19	33
s15682-15566	0	s15682-15566	20	34
s15682-15566	0	s15682-15566	21	35
s15682-15566	0	s15682-15566	22	36
s15682-15566	0	s15682-15566	23	37
s15682-15566	0	s15682-15566	24	38
s14059-13910	0	s14059-13910	1	15
s14059-13910	2	s14059-13910	2	16
s14059-13910	2	s14059-13910	3	17
s14059-13910	2	s14059-13910	4	18
s14059-13910	3	s14059-13910	5	19
s14059-13910	2	s14059-13910	6	20
s14059-13910	2	s14059-13910	7	21
s14059-13910	1	s14059-13910	8	22
s14059-13910	0	s14059-13910	9	23
s14059-13910	1	s14059-13910	10	24
s14059-13910	1	s14059-13910	11	25
s14059-13910	6	s14059-13910	12	26
s14059-13910	6	s14059-13910	13	27
s14059-13910	5	s14059-13910	14	28
s14059-13910	1	s14059-13910	15	29
s14059-13910	0	s14059-13910	16	30
s14059-13910	0	s14059-13910	17	31
s14059-13910	1	s14059-13910	18	32
s14059-13910	2	s14059-13910	19	33
s14059-13910	2	s14059-13910	20	34
s14059-13910	2	s14059-13910	21	35
s14059-13910	3	s14059-13910	22	36
s14059-13910	5	s14059-13910	23	37
s14059-13910	1	s14059-13910	24	38
s14059-13910	1	s14059-13910	25	39
s14059-13910	0	s14059-13910	26	40
s14059-13910	0	s14059-13910	27	41
s14059-13910	0	s14059-13910	28	42
s14059-13910	1	s14059-13910	29	43
s14059-13910	5	s14059-13910	30	44
s14059-13910	5	s14059-13910	31	45
s14059-13910	5	s14059-13910	32	46
s14059-13910	3	s14059-13910	33	47
s14059-13910	3	s14059-13910	34	48
s14059-13910	4	s14059-13910	35	49
s13273-13115	1	s13273-13115	1	15
s13273-13115	0	s13273-13115	2	16
s13273-13115	0	s13273-13115	3	17
s13273-13115	0	s13273-13115	4	18
s13273-13115	0	s13273-13115	5	19
s13273-13115	0	s13273-13115	6	20
s13273-13115	0	s13273-13115	7	21
s13273-13115	0	s13273-13115	8	22
s13273-13115	0	s13273-13115	9	23
s13273-13115	0	s13273-13115	10	24
s13273-13115	1	s13273-13115	11	25
s13273-13115	0	s13273-13115	12	26
s13273-13115	5	s13273-13115	13	27
s13273-13115	3	s13273-13115	14	28
s13273-13115	3	s13273-13115	15	29
s13273-13115	0	s13273-13115	16	30
s13273-13115	0	s13273-13115	17	31
s13273-13115	0	s13273-13115	18	32
s13273-13115	0	s13273-13115	19	33
s13273-13115	0	s13273-13115	20	34
s13273-13115	0	s13273-13115	21	35
