Type	frame	genome-co-ord1	genome-co-ord2	strand	pvalue-permutation	pvalue-synonymous	reference-frame-gene	gene-co-ord1	gene-co-ord2
Overlapping	0	7494	7709	+	0.9359999118	0.8812887	ORF1a	7232	7444
Overlapping	0	7887	7982	+	1.0000000000	1.0000000	ORF1a	7625	7717
Overlapping	0	7992	8102	+	1.0000000000	1.0000000	ORF1a	7730	7837
Overlapping	0	8397	8492	+	1.0000000000	1.0000000	ORF1a	8135	8227
Overlapping	0	8724	8825	+	1.0000000000	1.0000000	ORF1a	8462	8560
Overlapping	0	8838	8975	+	0.9999997662	0.9999948	ORF1a	8576	8710
Overlapping	0	8973	9083	+	1.0000000000	1.0000000	ORF1a	8711	8818
Overlapping	0	9081	9194	+	1.0000000000	1.0000000	ORF1a	8819	8929
Overlapping	0	9192	9329	+	0.9999997662	0.9999948	ORF1a	8930	9064
Overlapping	1	9349	9468	+	0.9936077112	1.0000000	ORF1a	9087	9203
Overlapping	1	9505	9618	+	0.9984673671	1.0000000	ORF1a	9243	9353
Overlapping	1	9619	9738	+	0.9936077112	1.0000000	ORF1a	9357	9473
Overlapping	0	9888	10115	+	0.8795126296	0.8157804	ORF1a	9626	9850
Overlapping	0	10179	10400	+	0.9106944088	0.8433387	ORF1a	9917	10135
Overlapping	1	10357	10464	+	0.9997588699	1.0000000	ORF1a	10095	10199
Overlapping	1	10795	10905	+	0.9993543777	1.0000000	ORF1a	10533	10640
Overlapping	1	10945	11088	+	0.8472665659	1.0000000	ORF1a	10683	10823
Overlapping	0	11046	11144	+	1.0000000000	1.0000000	ORF1a	10784	10879
Overlapping	1	11584	11679	+	0.9999989790	1.0000000	ORF1a	11322	11414
Overlapping	0	12096	12206	+	1.0000000000	1.0000000	ORF1a	11834	11941
Overlapping	0	12291	12443	+	0.9999822077	0.9997734	ORF1a	12029	12178
Overlapping	1	12391	12498	+	0.9997588699	1.0000000	ORF1a	12129	12233
Overlapping	0	12474	12572	+	1.0000000000	1.0000000	ORF1a	12212	12307
Overlapping	0	12657	12773	+	1.0000000000	1.0000000	ORF1a	12395	12508
Overlapping	0	12837	12941	+	1.0000000000	1.0000000	ORF1a	12575	12676
Overlapping	1	13150	13284	+	0.9340335650	1.0000000	ORF1a	12888	13019
Overlapping	0	13299	13466	+	0.9996131363	0.9977145	ORF1a	13037	13201
Non-OLG	1	13465	21555	+	0.000375075	1.0000000	ORF1b	1	8088
Overlapping	2	13652	13759	+	0.999999983	1.0000000	ORF1b	188	292
Overlapping	2	14279	14428	+	0.998637401	0.9995205	ORF1b	815	961
Overlapping	2	14633	14752	+	0.999998505	0.9999999	ORF1b	1169	1285
Overlapping	2	14750	14857	+	0.999999983	1.0000000	ORF1b	1286	1390
Overlapping	2	15266	15406	+	0.999708588	0.9999279	ORF1b	1802	1939
Overlapping	2	15428	15667	+	0.556046042	0.6231315	ORF1b	1964	2200
Overlapping	2	15776	15898	+	0.999996224	0.9999997	ORF1b	2312	2431
Overlapping	2	16139	16279	+	0.999708588	0.9999279	ORF1b	2675	2812
Overlapping	0	16203	16301	+	0.999329505	1.0000000	ORF1b	2739	2834
Overlapping	2	16439	16603	+	0.990390379	0.9960637	ORF1b	2975	3136
Overlapping	2	16601	16798	+	0.884910190	0.9418206	ORF1b	3137	3331
Overlapping	2	16955	17122	+	0.986857473	0.9951178	ORF1b	3491	3655
Overlapping	2	17591	17716	+	0.999991089	0.9999986	ORF1b	4127	4249
Overlapping	2	17798	17911	+	0.999999814	1.0000000	ORF1b	4334	4444
Overlapping	2	18080	18187	+	0.999999983	1.0000000	ORF1b	4616	4720
Overlapping	2	18389	18523	+	0.999917082	0.9999789	ORF1b	4925	5056
Overlapping	2	18641	18763	+	0.999996224	0.9999997	ORF1b	5177	5296
Overlapping	2	19127	19303	+	0.970170095	0.9897623	ORF1b	5663	5836
Overlapping	0	19395	19493	+	0.999329505	1.0000000	ORF1b	5931	6026
Overlapping	2	20135	20263	+	0.999980195	0.9999965	ORF1b	6671	6796
Overlapping	2	20990	21142	+	0.997869111	0.9990709	ORF1b	7526	7675
Overlapping	0	21093	21194	+	0.998363173	1.0000000	ORF1b	7629	7727
Overlapping	0	21285	21395	+	0.987163864	1.0000000	ORF1b	7821	7928
Non-OLG	2	21560	25384	+	0.0006002551	1.00000000	surface	1	3822
Overlapping	0	21591	21863	+	0.5739422543	0.37943824	surface	32	301
Overlapping	1	21679	21792	+	0.8171368257	0.99999898	surface	120	230
Overlapping	0	21891	22199	+	0.3782025579	0.17022808	surface	332	637
Overlapping	0	22485	22724	+	0.7669071408	0.58263258	surface	926	1162
Overlapping	0	22764	22865	+	0.9999994460	0.99991629	surface	1205	1303
Overlapping	0	22863	23093	+	0.8136978484	0.61908732	surface	1304	1531
Overlapping	0	23094	23201	+	0.9999975935	0.99981376	surface	1535	1639
Overlapping	0	23199	23357	+	0.9956515892	0.95875384	surface	1640	1795
Overlapping	0	23355	23513	+	0.9956515892	0.95875384	surface	1796	1951
Overlapping	0	23514	23624	+	0.9999953960	0.99969748	surface	1955	2062
Overlapping	0	23622	23756	+	0.9997025830	0.99448940	surface	2063	2194
Overlapping	0	23871	24041	+	0.9884763346	0.91131124	surface	2312	2479
Overlapping	0	24039	24170	+	0.9998053079	0.99567133	surface	2480	2608
Overlapping	1	24163	24276	+	0.8171368257	0.99999898	surface	2604	2714
Overlapping	0	24195	24329	+	0.9997025830	0.99448940	surface	2636	2767
Overlapping	0	24327	24440	+	0.9999913200	0.99943171	surface	2768	2878
Overlapping	1	24346	24453	+	0.8881180384	0.99999982	surface	2787	2891
Overlapping	0	24597	24743	+	0.9986866871	0.98527332	surface	3038	3181
Overlapping	1	24682	24813	+	0.5508832236	0.99990685	surface	3123	3251
Overlapping	0	24756	24875	+	0.9999725160	0.99896594	surface	3197	3313
Overlapping	1	25180	25287	+	0.8881180384	0.99999982	surface	3621	3725
Overlapping	0	25272	25382	+	0.9999913200	0.99943171	surface	3713	3820
Non-OLG	1	25390	26220	+	0.0035555110	1.00000000	ORF3a	1	828
Overlapping	2	25436	25582	+	0.6709137544	0.58325646	ORF3a	47	190
Overlapping	0	25446	25697	+	0.0103804602	0.19875367	ORF3a	57	305
Overlapping	0	25695	25817	+	0.4691372844	0.91900798	ORF3a	306	425
Overlapping	2	25766	25882	+	0.8773046047	0.88341551	ORF3a	377	490
Overlapping	2	25880	25984	+	0.9330603896	0.91526909	ORF3a	491	592
Overlapping	0	25962	26069	+	0.6378687838	0.96269169	ORF3a	573	677
Overlapping	2	26048	26170	+	0.8414437516	0.81042593	ORF3a	659	778
Non-OLG	1	26242	26472	+	0.0132367	1.00000000	envelope	1	228
Overlapping	0	26289	26387	+	0.2959187	0.76115321	envelope	48	143
Non-OLG	0	26520	27191	+	0.004586466	1.00000000	membrane	1	669
Overlapping	2	26669	26872	+	0.053246661	0.43638620	membrane	150	350
Overlapping	1	26791	26910	+	0.677640816	0.49787415	membrane	272	388
Overlapping	1	26989	27084	+	0.883431754	0.76303039	membrane	470	562
Non-OLG	1	27199	27387	+	0.01639592	1.0000000	ORF6	1	186
Non-OLG	1	27391	27759	+	0.007932125	1.00000000	ORF7a	1	366
Overlapping	2	27605	27715	+	0.771200052	0.55366520	ORF7a	215	322
Overlapping	0	27645	27758	+	0.253176119	0.75499417	ORF7a	255	365
Non-OLG	0	27753	27887	+	0.02325817	1.00000000	ORF7b	1	132
Non-OLG	0	27891	28259	+	0.008863779	1.0000000	ORF8	1	366
Overlapping	1	28063	28191	+	0.551054806	0.4962860	ORF8	173	298
Non-OLG	2	28271	29533	+	0.002377556	1.00000000	nucleocapsid	1	1260
Overlapping	0	28272	28577	+	0.452017070	0.09451456	nucleocapsid	2	304
Overlapping	0	28689	28955	+	0.597685294	0.23386756	nucleocapsid	419	682
Overlapping	1	28729	28842	+	0.702052892	0.97379119	nucleocapsid	459	569
Overlapping	0	28953	29084	+	0.982410204	0.90675237	nucleocapsid	683	811
Overlapping	1	29068	29163	+	0.885084579	0.99397628	nucleocapsid	798	890
Overlapping	0	29145	29267	+	0.988805405	0.93355082	nucleocapsid	875	994
Overlapping	1	29161	29295	+	0.463663701	0.86915692	nucleocapsid	891	1022
Overlapping	0	29331	29450	+	0.990469251	0.94579022	nucleocapsid	1061	1177
Non-OLG	2	29555	29674	+	0.02566961	1.000000000	ORF10	1	117
