Pos	ID	Allele	NB	codon_start	codon_end	NB_coverage
32	s18185-17979	HLA-A01:01	0	33	41	0
33	s18185-17979	HLA-A01:01	1	34	42	1
34	s18185-17979	HLA-A01:01	0	35	43	1
35	s18185-17979	HLA-A01:01	0	36	44	1
36	s18185-17979	HLA-A01:01	2	37	45	3
37	s18185-17979	HLA-A01:01	0	38	46	3
38	s18185-17979	HLA-A01:01	1	39	47	4
39	s18185-17979	HLA-A01:01	0	40	48	4
40	s18185-17979	HLA-A01:01	0	41	49	4
41	s18185-17979	HLA-A01:01	0	42	50	4
42	s18185-17979	HLA-A01:01	0	43	51	3
43	s18185-17979	HLA-A01:01	0	44	52	3
44	s18185-17979	HLA-A01:01	0	45	53	3
45	s18185-17979	HLA-A01:01	0	46	54	1
46	s18185-17979	HLA-A01:01	6	47	55	7
47	s18185-17979	HLA-A01:01	0	48	56	6
48	s18185-17979	HLA-A01:01	0	49	57	6
49	s18185-17979	HLA-A01:01	0	50	58	6
50	s18185-17979	HLA-A01:01	1	51	59	7
51	s18185-17979	HLA-A01:01	0	52	60	7
52	s18185-17979	HLA-A01:01	1	53	61	8
53	s18185-17979	HLA-A01:01	1	54	62	9
54	s18185-17979	HLA-A01:01	1	55	63	10
55	s18185-17979	HLA-A01:01	0	56	64	4
56	s18185-17979	HLA-A01:01	0	57	65	4
57	s18185-17979	HLA-A01:01	0	58	66	4
58	s18185-17979	HLA-A01:01	0	59	67	4
59	s18185-17979	HLA-A01:01	0	60	68	3
0	s17543-17445	HLA-A01:01	1	1	9	1
1	s17543-17445	HLA-A01:01	0	2	10	1
2	s17543-17445	HLA-A01:01	0	3	11	1
3	s17543-17445	HLA-A01:01	0	4	12	1
4	s17543-17445	HLA-A01:01	0	5	13	1
5	s17543-17445	HLA-A01:01	1	6	14	2
6	s17543-17445	HLA-A01:01	1	7	15	3
7	s17543-17445	HLA-A01:01	2	8	16	5
8	s17543-17445	HLA-A01:01	0	9	17	5
9	s17543-17445	HLA-A01:01	0	10	18	4
10	s17543-17445	HLA-A01:01	0	11	19	4
11	s17543-17445	HLA-A01:01	0	12	20	4
12	s17543-17445	HLA-A01:01	2	13	21	6
13	s17543-17445	HLA-A01:01	0	14	22	6
14	s17543-17445	HLA-A01:01	2	15	23	7
15	s17543-17445	HLA-A01:01	0	16	24	6
16	s17543-17445	HLA-A01:01	0	17	25	4
17	s17543-17445	HLA-A01:01	0	18	26	4
18	s17543-17445	HLA-A01:01	0	19	27	4
19	s17543-17445	HLA-A01:01	0	20	28	4
20	s17543-17445	HLA-A01:01	0	21	29	4
21	s17543-17445	HLA-A01:01	0	22	30	2
22	s17543-17445	HLA-A01:01	0	23	31	2
23	s17543-17445	HLA-A01:01	0	24	32	0
0	s28081-28191	HLA-A01:01	2	1	9	2
1	s28081-28191	HLA-A01:01	0	2	10	2
2	s28081-28191	HLA-A01:01	0	3	11	2
3	s28081-28191	HLA-A01:01	0	4	12	2
4	s28081-28191	HLA-A01:01	0	5	13	2
5	s28081-28191	HLA-A01:01	0	6	14	2
6	s28081-28191	HLA-A01:01	2	7	15	4
7	s28081-28191	HLA-A01:01	0	8	16	4
8	s28081-28191	HLA-A01:01	2	9	17	6
9	s28081-28191	HLA-A01:01	0	10	18	4
10	s28081-28191	HLA-A01:01	3	11	19	7
11	s28081-28191	HLA-A01:01	0	12	20	7
12	s28081-28191	HLA-A01:01	1	13	21	8
13	s28081-28191	HLA-A01:01	2	14	22	10
14	s28081-28191	HLA-A01:01	1	15	23	11
15	s28081-28191	HLA-A01:01	1	16	24	10
16	s28081-28191	HLA-A01:01	0	17	25	10
17	s28081-28191	HLA-A01:01	1	18	26	9
18	s28081-28191	HLA-A01:01	2	19	27	11
19	s28081-28191	HLA-A01:01	0	20	28	8
20	s28081-28191	HLA-A01:01	0	21	29	8
21	s28081-28191	HLA-A01:01	0	22	30	7
22	s28081-28191	HLA-A01:01	1	23	31	6
23	s28081-28191	HLA-A01:01	0	24	32	5
24	s28081-28191	HLA-A01:01	1	25	33	5
25	s28081-28191	HLA-A01:01	1	26	34	6
26	s28081-28191	HLA-A01:01	0	27	35	5
27	s28081-28191	HLA-A01:01	2	28	36	5
0	s16295-16200	HLA-A01:01	4	1	9	4
1	s16295-16200	HLA-A01:01	0	2	10	4
2	s16295-16200	HLA-A01:01	0	3	11	4
3	s16295-16200	HLA-A01:01	0	4	12	4
4	s16295-16200	HLA-A01:01	0	5	13	4
5	s16295-16200	HLA-A01:01	0	6	14	4
6	s16295-16200	HLA-A01:01	0	7	15	4
7	s16295-16200	HLA-A01:01	0	8	16	4
8	s16295-16200	HLA-A01:01	0	9	17	4
9	s16295-16200	HLA-A01:01	0	10	18	0
10	s16295-16200	HLA-A01:01	0	11	19	0
11	s16295-16200	HLA-A01:01	0	12	20	0
12	s16295-16200	HLA-A01:01	0	13	21	0
13	s16295-16200	HLA-A01:01	1	14	22	1
14	s16295-16200	HLA-A01:01	0	15	23	1
15	s16295-16200	HLA-A01:01	0	16	24	1
16	s16295-16200	HLA-A01:01	1	17	25	2
17	s16295-16200	HLA-A01:01	0	18	26	2
18	s16295-16200	HLA-A01:01	0	19	27	2
19	s16295-16200	HLA-A01:01	0	20	28	2
20	s16295-16200	HLA-A01:01	0	21	29	2
21	s16295-16200	HLA-A01:01	0	22	30	2
22	s16295-16200	HLA-A01:01	0	23	31	1
0	s14027-13905	HLA-A01:01	3	1	9	3
1	s14027-13905	HLA-A01:01	0	2	10	3
2	s14027-13905	HLA-A01:01	1	3	11	4
3	s14027-13905	HLA-A01:01	0	4	12	4
4	s14027-13905	HLA-A01:01	0	5	13	4
5	s14027-13905	HLA-A01:01	0	6	14	4
6	s14027-13905	HLA-A01:01	0	7	15	4
7	s14027-13905	HLA-A01:01	0	8	16	4
8	s14027-13905	HLA-A01:01	0	9	17	4
9	s14027-13905	HLA-A01:01	0	10	18	1
10	s14027-13905	HLA-A01:01	1	11	19	2
11	s14027-13905	HLA-A01:01	1	12	20	2
12	s14027-13905	HLA-A01:01	0	13	21	2
13	s14027-13905	HLA-A01:01	4	14	22	6
14	s14027-13905	HLA-A01:01	0	15	23	6
15	s14027-13905	HLA-A01:01	0	16	24	6
16	s14027-13905	HLA-A01:01	0	17	25	6
17	s14027-13905	HLA-A01:01	0	18	26	6
18	s14027-13905	HLA-A01:01	0	19	27	6
19	s14027-13905	HLA-A01:01	0	20	28	5
20	s14027-13905	HLA-A01:01	1	21	29	5
21	s14027-13905	HLA-A01:01	0	22	30	5
22	s14027-13905	HLA-A01:01	0	23	31	1
23	s14027-13905	HLA-A01:01	1	24	32	2
24	s14027-13905	HLA-A01:01	0	25	33	2
25	s14027-13905	HLA-A01:01	2	26	34	4
26	s14027-13905	HLA-A01:01	0	27	35	4
27	s14027-13905	HLA-A01:01	0	28	36	4
28	s14027-13905	HLA-A01:01	4	29	37	8
29	s14027-13905	HLA-A01:01	1	30	38	8
30	s14027-13905	HLA-A01:01	1	31	39	9
31	s14027-13905	HLA-A01:01	1	32	40	10
0	s13550-13359	HLA-A01:01	0	1	9	0
1	s13550-13359	HLA-A01:01	1	2	10	1
2	s13550-13359	HLA-A01:01	3	3	11	4
3	s13550-13359	HLA-A01:01	1	4	12	5
4	s13550-13359	HLA-A01:01	0	5	13	5
5	s13550-13359	HLA-A01:01	4	6	14	9
6	s13550-13359	HLA-A01:01	0	7	15	9
7	s13550-13359	HLA-A01:01	0	8	16	9
8	s13550-13359	HLA-A01:01	0	9	17	9
9	s13550-13359	HLA-A01:01	1	10	18	10
10	s13550-13359	HLA-A01:01	0	11	19	9
11	s13550-13359	HLA-A01:01	0	12	20	6
12	s13550-13359	HLA-A01:01	0	13	21	5
13	s13550-13359	HLA-A01:01	1	14	22	6
14	s13550-13359	HLA-A01:01	0	15	23	2
15	s13550-13359	HLA-A01:01	0	16	24	2
16	s13550-13359	HLA-A01:01	0	17	25	2
17	s13550-13359	HLA-A01:01	0	18	26	2
18	s13550-13359	HLA-A01:01	1	19	27	2
19	s13550-13359	HLA-A01:01	0	20	28	2
20	s13550-13359	HLA-A01:01	0	21	29	2
21	s13550-13359	HLA-A01:01	1	22	30	3
22	s13550-13359	HLA-A01:01	0	23	31	2
23	s13550-13359	HLA-A01:01	2	24	32	4
24	s13550-13359	HLA-A01:01	0	25	33	4
25	s13550-13359	HLA-A01:01	0	26	34	4
26	s13550-13359	HLA-A01:01	0	27	35	4
27	s13550-13359	HLA-A01:01	2	28	36	5
28	s13550-13359	HLA-A01:01	0	29	37	5
29	s13550-13359	HLA-A01:01	0	30	38	5
30	s13550-13359	HLA-A01:01	0	31	39	4
31	s13550-13359	HLA-A01:01	1	32	40	5
32	s13550-13359	HLA-A01:01	0	33	41	3
33	s13550-13359	HLA-A01:01	0	34	42	3
34	s13550-13359	HLA-A01:01	0	35	43	3
35	s13550-13359	HLA-A01:01	0	36	44	3
36	s13550-13359	HLA-A01:01	0	37	45	1
37	s13550-13359	HLA-A01:01	0	38	46	1
38	s13550-13359	HLA-A01:01	0	39	47	1
39	s13550-13359	HLA-A01:01	2	40	48	3
40	s13550-13359	HLA-A01:01	0	41	49	2
41	s13550-13359	HLA-A01:01	0	42	50	2
42	s13550-13359	HLA-A01:01	0	43	51	2
43	s13550-13359	HLA-A01:01	0	44	52	2
44	s13550-13359	HLA-A01:01	0	45	53	2
45	s13550-13359	HLA-A01:01	0	46	54	2
46	s13550-13359	HLA-A01:01	0	47	55	2
47	s13550-13359	HLA-A01:01	0	48	56	2
48	s13550-13359	HLA-A01:01	0	49	57	0
49	s13550-13359	HLA-A01:01	0	50	58	0
50	s13550-13359	HLA-A01:01	0	51	59	0
51	s13550-13359	HLA-A01:01	0	52	60	0
52	s13550-13359	HLA-A01:01	2	53	61	2
53	s13550-13359	HLA-A01:01	0	54	62	2
54	s13550-13359	HLA-A01:01	2	55	63	4
0	s10856-10755	HLA-A01:01	0	1	9	0
1	s10856-10755	HLA-A01:01	0	2	10	0
2	s10856-10755	HLA-A01:01	0	3	11	0
3	s10856-10755	HLA-A01:01	1	4	12	1
4	s10856-10755	HLA-A01:01	0	5	13	1
5	s10856-10755	HLA-A01:01	0	6	14	1
6	s10856-10755	HLA-A01:01	1	7	15	2
7	s10856-10755	HLA-A01:01	0	8	16	2
8	s10856-10755	HLA-A01:01	0	9	17	2
9	s10856-10755	HLA-A01:01	3	10	18	5
10	s10856-10755	HLA-A01:01	0	11	19	5
11	s10856-10755	HLA-A01:01	1	12	20	6
12	s10856-10755	HLA-A01:01	0	13	21	5
13	s10856-10755	HLA-A01:01	0	14	22	5
14	s10856-10755	HLA-A01:01	0	15	23	5
15	s10856-10755	HLA-A01:01	0	16	24	4
16	s10856-10755	HLA-A01:01	0	17	25	4
17	s10856-10755	HLA-A01:01	1	18	26	5
18	s10856-10755	HLA-A01:01	0	19	27	2
19	s10856-10755	HLA-A01:01	1	20	28	3
20	s10856-10755	HLA-A01:01	0	21	29	2
21	s10856-10755	HLA-A01:01	0	22	30	2
22	s10856-10755	HLA-A01:01	0	23	31	2
23	s10856-10755	HLA-A01:01	0	24	32	2
24	s10856-10755	HLA-A01:01	0	25	33	2
0	s692-516	HLA-A01:01	1	1	9	1
1	s692-516	HLA-A01:01	0	2	10	1
2	s692-516	HLA-A01:01	0	3	11	1
3	s692-516	HLA-A01:01	0	4	12	1
4	s692-516	HLA-A01:01	1	5	13	2
5	s692-516	HLA-A01:01	2	6	14	4
6	s692-516	HLA-A01:01	4	7	15	8
7	s692-516	HLA-A01:01	0	8	16	8
8	s692-516	HLA-A01:01	0	9	17	8
9	s692-516	HLA-A01:01	0	10	18	7
10	s692-516	HLA-A01:01	1	11	19	8
11	s692-516	HLA-A01:01	0	12	20	8
12	s692-516	HLA-A01:01	0	13	21	8
13	s692-516	HLA-A01:01	0	14	22	7
14	s692-516	HLA-A01:01	0	15	23	5
15	s692-516	HLA-A01:01	0	16	24	1
16	s692-516	HLA-A01:01	0	17	25	1
17	s692-516	HLA-A01:01	0	18	26	1
18	s692-516	HLA-A01:01	0	19	27	1
19	s692-516	HLA-A01:01	1	20	28	1
20	s692-516	HLA-A01:01	0	21	29	1
21	s692-516	HLA-A01:01	0	22	30	1
22	s692-516	HLA-A01:01	0	23	31	1
23	s692-516	HLA-A01:01	0	24	32	1
24	s692-516	HLA-A01:01	0	25	33	1
25	s692-516	HLA-A01:01	0	26	34	1
26	s692-516	HLA-A01:01	0	27	35	1
27	s692-516	HLA-A01:01	0	28	36	1
28	s692-516	HLA-A01:01	0	29	37	0
29	s692-516	HLA-A01:01	0	30	38	0
30	s692-516	HLA-A01:01	0	31	39	0
31	s692-516	HLA-A01:01	0	32	40	0
32	s692-516	HLA-A01:01	0	33	41	0
33	s692-516	HLA-A01:01	0	34	42	0
34	s692-516	HLA-A01:01	0	35	43	0
35	s692-516	HLA-A01:01	0	36	44	0
36	s692-516	HLA-A01:01	0	37	45	0
37	s692-516	HLA-A01:01	0	38	46	0
38	s692-516	HLA-A01:01	0	39	47	0
39	s692-516	HLA-A01:01	0	40	48	0
40	s692-516	HLA-A01:01	0	41	49	0
41	s692-516	HLA-A01:01	1	42	50	1
42	s692-516	HLA-A01:01	0	43	51	1
43	s692-516	HLA-A01:01	0	44	52	1
44	s692-516	HLA-A01:01	1	45	53	2
45	s692-516	HLA-A01:01	1	46	54	3
46	s692-516	HLA-A01:01	0	47	55	3
47	s692-516	HLA-A01:01	0	48	56	3
48	s692-516	HLA-A01:01	0	49	57	3
49	s692-516	HLA-A01:01	0	50	58	3
0	s29341-29207	HLA-A01:01	1	1	9	1
1	s29341-29207	HLA-A01:01	1	2	10	2
2	s29341-29207	HLA-A01:01	0	3	11	2
3	s29341-29207	HLA-A01:01	3	4	12	5
4	s29341-29207	HLA-A01:01	0	5	13	5
5	s29341-29207	HLA-A01:01	0	6	14	5
6	s29341-29207	HLA-A01:01	1	7	15	6
7	s29341-29207	HLA-A01:01	1	8	16	7
8	s29341-29207	HLA-A01:01	1	9	17	8
9	s29341-29207	HLA-A01:01	0	10	18	7
10	s29341-29207	HLA-A01:01	0	11	19	6
11	s29341-29207	HLA-A01:01	0	12	20	6
12	s29341-29207	HLA-A01:01	0	13	21	3
13	s29341-29207	HLA-A01:01	0	14	22	3
14	s29341-29207	HLA-A01:01	0	15	23	3
15	s29341-29207	HLA-A01:01	0	16	24	2
16	s29341-29207	HLA-A01:01	0	17	25	1
17	s29341-29207	HLA-A01:01	0	18	26	0
18	s29341-29207	HLA-A01:01	0	19	27	0
19	s29341-29207	HLA-A01:01	0	20	28	0
20	s29341-29207	HLA-A01:01	0	21	29	0
21	s29341-29207	HLA-A01:01	0	22	30	0
22	s29341-29207	HLA-A01:01	0	23	31	0
23	s29341-29207	HLA-A01:01	0	24	32	0
24	s29341-29207	HLA-A01:01	0	25	33	0
25	s29341-29207	HLA-A01:01	2	26	34	2
26	s29341-29207	HLA-A01:01	0	27	35	2
27	s29341-29207	HLA-A01:01	0	28	36	2
28	s29341-29207	HLA-A01:01	0	29	37	2
29	s29341-29207	HLA-A01:01	1	30	38	3
30	s29341-29207	HLA-A01:01	0	31	39	3
31	s29341-29207	HLA-A01:01	0	32	40	3
32	s29341-29207	HLA-A01:01	0	33	41	3
33	s29341-29207	HLA-A01:01	1	34	42	4
34	s29341-29207	HLA-A01:01	0	35	43	2
35	s29341-29207	HLA-A01:01	0	36	44	2
0	s27004-26804	HLA-A01:01	0	1	9	0
1	s27004-26804	HLA-A01:01	1	2	10	1
2	s27004-26804	HLA-A01:01	1	3	11	2
3	s27004-26804	HLA-A01:01	1	4	12	3
4	s27004-26804	HLA-A01:01	0	5	13	3
5	s27004-26804	HLA-A01:01	0	6	14	3
6	s27004-26804	HLA-A01:01	0	7	15	3
7	s27004-26804	HLA-A01:01	0	8	16	3
8	s27004-26804	HLA-A01:01	0	9	17	3
9	s27004-26804	HLA-A01:01	0	10	18	3
10	s27004-26804	HLA-A01:01	0	11	19	2
11	s27004-26804	HLA-A01:01	1	12	20	2
12	s27004-26804	HLA-A01:01	0	13	21	1
13	s27004-26804	HLA-A01:01	2	14	22	3
14	s27004-26804	HLA-A01:01	0	15	23	3
15	s27004-26804	HLA-A01:01	1	16	24	4
16	s27004-26804	HLA-A01:01	0	17	25	4
17	s27004-26804	HLA-A01:01	5	18	26	9
18	s27004-26804	HLA-A01:01	0	19	27	9
19	s27004-26804	HLA-A01:01	0	20	28	9
20	s27004-26804	HLA-A01:01	0	21	29	8
21	s27004-26804	HLA-A01:01	0	22	30	8
22	s27004-26804	HLA-A01:01	0	23	31	6
23	s27004-26804	HLA-A01:01	0	24	32	6
24	s27004-26804	HLA-A01:01	1	25	33	6
25	s27004-26804	HLA-A01:01	0	26	34	6
26	s27004-26804	HLA-A01:01	2	27	35	3
27	s27004-26804	HLA-A01:01	0	28	36	3
28	s27004-26804	HLA-A01:01	1	29	37	4
29	s27004-26804	HLA-A01:01	0	30	38	4
30	s27004-26804	HLA-A01:01	0	31	39	4
31	s27004-26804	HLA-A01:01	0	32	40	4
32	s27004-26804	HLA-A01:01	2	33	41	6
33	s27004-26804	HLA-A01:01	0	34	42	5
34	s27004-26804	HLA-A01:01	0	35	43	5
35	s27004-26804	HLA-A01:01	0	36	44	3
36	s27004-26804	HLA-A01:01	0	37	45	3
37	s27004-26804	HLA-A01:01	1	38	46	3
38	s27004-26804	HLA-A01:01	0	39	47	3
39	s27004-26804	HLA-A01:01	0	40	48	3
40	s27004-26804	HLA-A01:01	2	41	49	5
41	s27004-26804	HLA-A01:01	1	42	50	4
42	s27004-26804	HLA-A01:01	0	43	51	4
43	s27004-26804	HLA-A01:01	0	44	52	4
44	s27004-26804	HLA-A01:01	0	45	53	4
45	s27004-26804	HLA-A01:01	0	46	54	4
46	s27004-26804	HLA-A01:01	0	47	55	3
47	s27004-26804	HLA-A01:01	1	48	56	4
48	s27004-26804	HLA-A01:01	0	49	57	4
49	s27004-26804	HLA-A01:01	0	50	58	2
50	s27004-26804	HLA-A01:01	0	51	59	1
51	s27004-26804	HLA-A01:01	0	52	60	1
52	s27004-26804	HLA-A01:01	3	53	61	4
53	s27004-26804	HLA-A01:01	0	54	62	4
54	s27004-26804	HLA-A01:01	0	55	63	4
55	s27004-26804	HLA-A01:01	0	56	64	4
56	s27004-26804	HLA-A01:01	2	57	65	5
57	s27004-26804	HLA-A01:01	0	58	66	5
0	s25807-25586	HLA-A01:01	0	1	9	0
1	s25807-25586	HLA-A01:01	1	2	10	1
2	s25807-25586	HLA-A01:01	0	3	11	1
3	s25807-25586	HLA-A01:01	0	4	12	1
4	s25807-25586	HLA-A01:01	0	5	13	1
5	s25807-25586	HLA-A01:01	0	6	14	1
6	s25807-25586	HLA-A01:01	2	7	15	3
7	s25807-25586	HLA-A01:01	1	8	16	4
