sequence	product	product_order	codon	OL_category	variability	N_sites	S_sites	N_diffs	S_diffs
SARSCOV2	ORF1ab	1	107	NOL	polymorphic	2	1	0	0.00100603609
SARSCOV2	ORF1ab	1	108	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	109	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	110	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	111	NOL	polymorphic	2	1	0	0.00100603609
SARSCOV2	ORF1ab	1	112	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	113	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	114	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	115	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	116	NOL	polymorphic	2	1	0	0.002010553889
SARSCOV2	ORF1ab	1	117	NOL	polymorphic	2	1	0.001005783126	0
SARSCOV2	ORF1ab	1	118	NOL	polymorphic	2.000377169	0.9988684938	0.00351404378	0.002511296089
SARSCOV2	ORF1ab	1	119	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	120	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	121	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	122	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	123	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	124	NOL	polymorphic	1.999622831	0.9996228313	5.027651451e-4	0
SARSCOV2	ORF1ab	1	125	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	126	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	127	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	128	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	129	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	130	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	131	NOL	polymorphic	2	1	0	0.005016274448
SARSCOV2	ORF1ab	1	132	NOL	polymorphic	1.99899447	0.9994972348	0	0
SARSCOV2	ORF1ab	1	133	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	134	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	135	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	136	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	137	NOL	polymorphic	2.000167631	0.9998323695	0.001005656772	0
SARSCOV2	ORF1ab	1	138	NOL	polymorphic	2	1	0	0.001005277581
SARSCOV2	ORF1ab	1	139	NOL	polymorphic	2.666666667	0.3333333333	5.027652086e-4	0
SARSCOV2	ORF1ab	1	140	NOL	polymorphic	1.666834255	1.333165745	0	5.027652086e-4
SARSCOV2	ORF1ab	1	141	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	142	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	143	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	144	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	145	NOL	polymorphic	2.333333333	0.6666666667	0	0.001005277581
SARSCOV2	ORF1ab	1	146	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	147	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	148	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	149	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	150	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	151	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	152	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	153	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	154	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	155	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	156	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	157	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	158	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	159	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	160	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	161	NOL	polymorphic	2.999245663	0	0	0
SARSCOV2	ORF1ab	1	162	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	163	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	164	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	165	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	166	NOL	polymorphic	2.666499078	0.3335009217	5.027652086e-4	0
SARSCOV2	ORF1ab	1	167	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	168	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	169	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	170	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	171	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	172	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	173	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	174	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	175	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	176	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	177	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	178	NOL	polymorphic	2.666666667	0.3333333333	0	0.001507537117
SARSCOV2	ORF1ab	1	179	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	180	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	181	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	182	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	183	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	184	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	185	NOL	polymorphic	1.999664823	0.999581029	5.026387904e-4	0
SARSCOV2	ORF1ab	1	186	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	187	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	188	NOL	polymorphic	2.665996313	0.3332495391	0	0.001005024744
SARSCOV2	ORF1ab	1	189	NOL	polymorphic	2.666666667	0.3333333333	0	0.003012798706
SARSCOV2	ORF1ab	1	190	NOL	polymorphic	2.665661136	0.3343388638	0.003012798706	5.027652086e-4
SARSCOV2	ORF1ab	1	191	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	192	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	193	NOL	polymorphic	2	1	0.001507537117	0
SARSCOV2	ORF1ab	1	194	NOL	polymorphic	2.666499078	0.3335009217	5.027652086e-4	0
SARSCOV2	ORF1ab	1	195	NOL	polymorphic	2.000125691	0.9998743087	5.027652086e-4	0
SARSCOV2	ORF1ab	1	196	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	197	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	198	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	199	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	200	NOL	polymorphic	2.5	0.5	0	0.001507537117
SARSCOV2	ORF1ab	1	201	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	202	NOL	polymorphic	2.666666667	0.3333333333	0	5.027652086e-4
SARSCOV2	ORF1ab	1	203	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	204	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	205	NOL	conserved	1.666666667	1.333333333	0	0
SARSCOV2	ORF1ab	1	206	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	207	NOL	polymorphic	2.003016591	0.9969834087	0.01199658216	0
SARSCOV2	ORF1ab	1	208	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	209	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	210	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	211	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	212	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	213	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	214	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	215	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	216	NOL	polymorphic	2	1	0	5.027652086e-4
SARSCOV2	ORF1ab	1	217	NOL	polymorphic	2.666163901	0.3338360985	0.002010302325	0
SARSCOV2	ORF1ab	1	218	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	219	NOL	polymorphic	1.666247696	1.332998157	0	5.026387904e-4
SARSCOV2	ORF1ab	1	220	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	221	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	222	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	223	NOL	polymorphic	2.666666667	0.3333333333	5.027652086e-4	0
SARSCOV2	ORF1ab	1	224	NOL	polymorphic	2.000083794	0.9999162058	5.027652086e-4	0
SARSCOV2	ORF1ab	1	225	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	226	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	227	NOL	polymorphic	2	1	0	0.002511297679
SARSCOV2	ORF1ab	1	228	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	229	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	230	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	231	NOL	polymorphic	2.499748617	0.5002513826	0.001005277581	0
SARSCOV2	ORF1ab	1	232	NOL	polymorphic	2.000125723	0.9998742771	5.028916269e-4	0
SARSCOV2	ORF1ab	1	233	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	234	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	235	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	236	NOL	polymorphic	2.666666667	0.3333333333	0	5.028916269e-4
SARSCOV2	ORF1ab	1	237	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	238	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	239	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	240	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	241	NOL	polymorphic	2.000167631	0.9998323695	5.028916269e-4	0
SARSCOV2	ORF1ab	1	242	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	243	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	244	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	245	NOL	polymorphic	2	1	5.027652086e-4	0
SARSCOV2	ORF1ab	1	246	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	247	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	248	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	249	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	250	NOL	polymorphic	2.666666667	0.3333333333	0	0.00100553029
SARSCOV2	ORF1ab	1	251	NOL	polymorphic	2.332746479	0.666498994	0	0
SARSCOV2	ORF1ab	1	252	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	253	NOL	polymorphic	1.998994217	0.9994971084	0	0
SARSCOV2	ORF1ab	1	254	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	255	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	256	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	257	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	258	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	259	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	260	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	261	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	262	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	263	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	264	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	265	NOL	polymorphic	2.050372978	0.9473640097	0.2626704405	0
SARSCOV2	ORF1ab	1	266	NOL	polymorphic	2.665996144	0.3332495181	0	0
SARSCOV2	ORF1ab	1	267	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	268	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	269	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	270	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	271	NOL	polymorphic	2	1	0.004516917952	0
SARSCOV2	ORF1ab	1	272	NOL	polymorphic	2.666666667	0.3333333333	0.00150791599	0
SARSCOV2	ORF1ab	1	273	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	274	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	275	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	276	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	277	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	278	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	279	NOL	polymorphic	2	1	0	0.001005783126
SARSCOV2	ORF1ab	1	280	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	281	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	282	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	283	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	284	NOL	polymorphic	2.333249476	0.6667505241	5.031446541e-4	0
SARSCOV2	ORF1ab	1	285	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	286	NOL	polymorphic	2	1	0	5.030181087e-4
SARSCOV2	ORF1ab	1	287	NOL	polymorphic	2.333501006	0.666498994	0.001006036217	0
SARSCOV2	ORF1ab	1	288	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	289	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	290	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	291	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	292	NOL	polymorphic	2.666499036	0.3335009639	5.028916269e-4	0
SARSCOV2	ORF1ab	1	293	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	294	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	295	NOL	polymorphic	2	1	0.002010553889	0
SARSCOV2	ORF1ab	1	296	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	297	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	298	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	299	NOL	conserved	2.166666667	0.8333333333	0	0
SARSCOV2	ORF1ab	1	300	NOL	conserved	2.333333333	0.6666666667	0	0
SARSCOV2	ORF1ab	1	301	NOL	conserved	1.5	1.5	0	0
SARSCOV2	ORF1ab	1	302	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	303	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	304	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	305	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	306	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	307	NOL	polymorphic	2	1	0	5.035246727e-4
SARSCOV2	ORF1ab	1	308	NOL	polymorphic	2.000083857	0.9999161426	5.031446541e-4	0
SARSCOV2	ORF1ab	1	309	NOL	polymorphic	1.99932914	0.9999161426	0.003517707868	6.33e-7
SARSCOV2	ORF1ab	1	310	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	311	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	312	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	313	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	314	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	315	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	316	NOL	polymorphic	2.5	0.5	0	5.033979361e-4
SARSCOV2	ORF1ab	1	317	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	318	NOL	polymorphic	2.000335768	0.9996642324	0.002013083521	0
SARSCOV2	ORF1ab	1	319	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	320	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	321	NOL	conserved	3	0	0	0
SARSCOV2	ORF1ab	1	322	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	323	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	324	NOL	conserved	2.666666667	0.3333333333	0	0
SARSCOV2	ORF1ab	1	325	NOL	polymorphic	2.6659953	0.3340046996	0.002012577085	0
SARSCOV2	ORF1ab	1	326	NOL	conserved	2.5	0.5	0	0
SARSCOV2	ORF1ab	1	327	NOL	conserved	2	1	0	0
SARSCOV2	ORF1ab	1	328	NOL	conserved	2.666666667	0.3333333333	0	0
